observation_date,CLVMNACSCAB1GQEA19
1995-01-01,1840669.6
1995-04-01,1855716.4
1995-07-01,1860569.4
1995-10-01,1864544.6
1996-01-01,1867274.6
1996-04-01,1881759.7
1996-07-01,1891230.8
1996-10-01,1901341.2
1997-01-01,1906986.2
1997-04-01,1929796.4
1997-07-01,1944726.5
1997-10-01,1965137.2
1998-01-01,1979271.8
1998-04-01,1987174.6
1998-07-01,1997700.5
1998-10-01,2003516.6
1999-01-01,2024130.7
1999-04-01,2033747.6
1999-07-01,2060527.5
1999-10-01,2082178.6
2000-01-01,2109076.0
2000-04-01,2128109.9
2000-07-01,2142381.2
2000-10-01,2152106.6
2001-01-01,2175972.7
2001-04-01,2177148.2
2001-07-01,2181554.4
2001-10-01,2180648.5
2002-01-01,2184886.2
2002-04-01,2195538.9
2002-07-01,2205117.8
2002-10-01,2209282.5
2003-01-01,2203303.7
2003-04-01,2204089.0
2003-07-01,2218273.1
2003-10-01,2232071.7
2004-01-01,2244441.6
2004-04-01,2258120.1
2004-07-01,2263443.6
2004-10-01,2273014.9
2005-01-01,2279081.9
2005-04-01,2293156.9
2005-07-01,2310495.4
2005-10-01,2326306.5
2006-01-01,2347905.5
2006-04-01,2373827.5
2006-07-01,2387197.6
2006-10-01,2414820.3
2007-01-01,2431610.6
2007-04-01,2447844.2
2007-07-01,2457505.5
2007-10-01,2469647.3
2008-01-01,2485102.8
2008-04-01,2473060.4
2008-07-01,2459712.8
2008-10-01,2418284.5
2009-01-01,2343651.8
2009-04-01,2343599.2
2009-07-01,2352028.9
2009-10-01,2362755.8
2010-01-01,2372246.1
2010-04-01,2394347.0
2010-07-01,2404801.0
2010-10-01,2419718.2
2011-01-01,2442182.6
2011-04-01,2442016.2
2011-07-01,2442793.2
2011-10-01,2436315.1
2012-01-01,2429675.6
2012-04-01,2420824.1
2012-07-01,2417406.3
2012-10-01,2407830.3
2013-01-01,2398513.4
2013-04-01,2414192.6
2013-07-01,2422114.3
2013-10-01,2428715.6
2014-01-01,2438617.6
2014-04-01,2444156.9
2014-07-01,2455776.2
2014-10-01,2466059.4
2015-01-01,2483792.4
2015-04-01,2494934.8
2015-07-01,2504500.6
2015-10-01,2517396.7
2016-01-01,2529803.1
2016-04-01,2535721.5
2016-07-01,2547654.9
2016-10-01,2565945.8
2017-01-01,2585703.3
2017-04-01,2604663.0
2017-07-01,2623434.6
2017-10-01,2644490.6
2018-01-01,2644770.4
2018-04-01,2658225.5
2018-07-01,2659785.1
2018-10-01,2676142.9
2019-01-01,2693611.1
2019-04-01,2703113.1
2019-07-01,2707770.5
2019-10-01,2707977.8
2020-01-01,2617407.9
2020-04-01,2326117.8
2020-07-01,2597797.5
2020-10-01,2606398.4
2021-01-01,2621447.0
2021-04-01,2680501.1
2021-07-01,2729374.6
2021-10-01,2750537.9
2022-01-01,2764657.5
2022-04-01,2789947.6
2022-07-01,2806596.3
2022-10-01,2804204.1
2023-01-01,2803435.8
2023-04-01,2805344.6
2023-07-01,2805485.1
2023-10-01,2806556.8
2024-01-01,2815262.5
2024-04-01,2820071.9
2024-07-01,2831532.4
