observation_date,NGDPRSAXDCKRQ
2000-01-01,243573104
2000-04-01,247325904
2000-07-01,254117200
2000-10-01,253272992
2001-01-01,255820800
2001-04-01,259678304
2001-07-01,262985600
2001-10-01,266982896
2002-01-01,274419904
2002-04-01,279643712
2002-07-01,284837504
2002-10-01,287527488
2003-01-01,285982496
2003-04-01,286171584
2003-07-01,290747712
2003-10-01,298161408
2004-01-01,302404288
2004-04-01,304926112
2004-07-01,305706208
2004-10-01,308211904
2005-01-01,311097088
2005-04-01,316930112
2005-07-01,321379296
2005-10-01,325066912
2006-01-01,330234400
2006-04-01,332617792
2006-07-01,337830784
2006-10-01,340636512
2007-01-01,346675008
2007-04-01,352543616
2007-07-01,356718208
2007-10-01,363742304
2008-01-01,366484800
2008-04-01,367818816
2008-07-01,370260096
2008-10-01,357768192
2009-01-01,358711712
2009-04-01,363560992
2009-07-01,374652000
2009-10-01,377396288
2010-01-01,386238496
2010-04-01,392479008
2010-07-01,396469600
2010-10-01,402065984
2011-01-01,405904800
2011-04-01,407666688
2011-07-01,409552288
2011-10-01,412298912
2012-01-01,416240704
2012-04-01,417998016
2012-07-01,419861600
2012-10-01,422987488
2013-01-01,426342400
2013-04-01,431160096
2013-07-01,435484704
2013-10-01,439300288
2014-01-01,442669888
2014-04-01,446872384
2014-07-01,448023488
2014-10-01,450409216
2015-01-01,454302784
2015-04-01,456256608
2015-07-01,463025504
2015-10-01,466604000
2016-01-01,468389792
2016-04-01,474262912
2016-07-01,476110016
2016-10-01,479788416
2017-01-01,485158592
2017-04-01,488738112
2017-07-01,495481408
2017-10-01,494353888
2018-01-01,501536992
2018-04-01,505472896
2018-07-01,508102016
2018-10-01,510990400
2019-01-01,511286592
2019-04-01,518083296
2019-07-01,519196800
2019-10-01,524415712
2020-01-01,517669600
2020-04-01,503484608
2020-07-01,514605792
2020-10-01,522706592
2021-01-01,530771104
2021-04-01,537903808
2021-07-01,538085696
2021-10-01,546662208
2022-01-01,549303680
2022-04-01,553684800
2022-07-01,555841472
2022-10-01,553328896
2023-01-01,555761088
2023-04-01,558825920
2023-07-01,563035712
2023-10-01,565597568
2024-01-01,572950976
2024-04-01,571646720
2024-07-01,572216000
