observation_date,CLVMNACSCAB1GQNO
1978-01-01,271323.8
1978-04-01,274960.3
1978-07-01,277695.1
1978-10-01,277998.5
1979-01-01,278751.3
1979-04-01,285627.6
1979-07-01,291800.9
1979-10-01,293981.7
1980-01-01,305490.8
1980-04-01,300288.2
1980-07-01,295793.5
1980-10-01,301084.5
1981-01-01,306287.8
1981-04-01,307344.0
1981-07-01,304156.2
1981-10-01,304092.1
1982-01-01,306003.6
1982-04-01,306030.0
1982-07-01,305954.5
1982-10-01,306767.1
1983-01-01,314366.3
1983-04-01,317230.0
1983-07-01,320859.4
1983-10-01,320959.1
1984-01-01,330896.4
1984-04-01,332592.9
1984-07-01,340558.8
1984-10-01,346438.7
1985-01-01,354461.7
1985-04-01,350414.2
1985-07-01,358861.6
1985-10-01,361747.5
1986-01-01,369519.0
1986-04-01,365347.6
1986-07-01,373266.6
1986-10-01,374970.9
1987-01-01,374887.6
1987-04-01,381736.8
1987-07-01,373430.4
1987-10-01,379056.8
1988-01-01,378512.7
1988-04-01,373688.2
1988-07-01,376306.3
1988-10-01,376753.5
1989-01-01,375386.1
1989-04-01,379052.5
1989-07-01,382113.5
1989-10-01,384336.3
1990-01-01,384436.7
1990-04-01,387878.8
1990-07-01,384711.6
1990-10-01,393250.2
1991-01-01,398026.9
1991-04-01,399754.0
1991-07-01,398942.8
1991-10-01,401370.7
1992-01-01,410850.1
1992-04-01,412625.6
1992-07-01,417112.4
1992-10-01,414629.0
1993-01-01,414496.5
1993-04-01,420437.0
1993-07-01,427373.1
1993-10-01,440004.7
1994-01-01,439642.9
1994-04-01,448110.2
1994-07-01,443055.7
1994-10-01,457559.7
1995-01-01,457478.5
1995-04-01,460785.9
1995-07-01,469796.7
1995-10-01,474624.7
1996-01-01,484471.6
1996-04-01,483920.3
1996-07-01,497302.5
1996-10-01,490645.6
1997-01-01,506061.9
1997-04-01,516175.8
1997-07-01,515713.6
1997-10-01,521773.7
1998-01-01,528366.5
1998-04-01,533344.8
1998-07-01,525375.3
1998-10-01,527606.6
1999-01-01,532988.7
1999-04-01,533190.3
1999-07-01,542281.5
1999-10-01,550049.5
2000-01-01,560312.2
2000-04-01,553577.7
2000-07-01,558038.2
2000-10-01,558220.5
2001-01-01,565772.0
2001-04-01,564938.0
2001-07-01,570708.2
2001-10-01,574831.9
2002-01-01,571765.1
2002-04-01,581603.5
2002-07-01,574430.2
2002-10-01,579807.3
2003-01-01,580669.8
2003-04-01,578380.7
2003-07-01,585102.5
2003-10-01,585257.7
2004-01-01,606640.8
2004-04-01,607674.9
2004-07-01,601861.3
2004-10-01,606751.2
2005-01-01,617566.7
2005-04-01,620245.3
2005-07-01,624504.9
2005-10-01,625670.1
2006-01-01,631718.1
2006-04-01,632370.5
2006-07-01,637736.2
2006-10-01,647404.3
2007-01-01,650948.2
2007-04-01,650938.9
2007-07-01,657846.5
2007-10-01,663779.2
2008-01-01,658907.7
2008-04-01,659178.4
2008-07-01,658183.4
2008-10-01,659886.3
2009-01-01,649574.3
2009-04-01,644818.3
2009-07-01,645163.0
2009-10-01,645449.3
2010-01-01,658709.7
2010-04-01,652895.3
2010-07-01,639464.7
2010-10-01,654281.3
2011-01-01,655794.7
2011-04-01,653549.8
2011-07-01,662264.3
2011-10-01,662547.8
2012-01-01,678392.1
2012-04-01,679716.8
2012-07-01,671554.2
2012-10-01,676089.5
2013-01-01,677761.1
2013-04-01,681808.5
2013-07-01,687344.4
2013-10-01,686334.5
2014-01-01,691158.2
2014-04-01,695385.2
2014-07-01,697805.9
2014-10-01,704878.8
2015-01-01,705800.4
2015-04-01,708896.3
2015-07-01,715776.8
2015-10-01,710560.7
2016-01-01,713842.5
2016-04-01,713615.3
2016-07-01,711424.6
2016-10-01,720953.1
2017-01-01,729122.8
2017-04-01,736147.9
2017-07-01,741192.4
2017-10-01,736969.8
2018-01-01,740581.3
2018-04-01,742808.4
2018-07-01,747488.2
2018-10-01,747740.4
2019-01-01,744426.5
2019-04-01,750828.5
2019-07-01,755094.5
2019-10-01,761354.1
2020-01-01,754091.0
2020-04-01,714979.2
2020-07-01,740800.0
2020-10-01,746590.2
2021-01-01,750609.1
2021-04-01,755180.0
2021-07-01,785291.1
2021-10-01,783701.4
2022-01-01,777610.0
2022-04-01,789064.3
2022-07-01,803226.4
2022-10-01,796113.7
2023-01-01,797760.3
2023-04-01,796283.2
2023-07-01,790759.3
2023-10-01,803869.5
2024-01-01,806000.4
2024-04-01,817216.8
