observation_date,NGDPRSAXDCPLQ
1995-01-01,185088.20113705
1995-04-01,188498.97976667
1995-07-01,193776.53153537
1995-10-01,196077.00281916
1996-01-01,200249.76035404
1996-04-01,204270.74024466
1996-07-01,206524.09948038
1996-10-01,199419.20167667
1997-01-01,211730.56551696
1997-04-01,214669.47187780
1997-07-01,215453.50323110
1997-10-01,219178.19511723
1998-01-01,223453.94760828
1998-04-01,223461.38195629
1998-07-01,225639.14473188
1998-10-01,226374.39339709
1999-01-01,228174.17387206
1999-04-01,233023.12294805
1999-07-01,237693.39707575
1999-10-01,241324.11546173
2000-01-01,243040.86512856
2000-04-01,245698.26864894
2000-07-01,246494.32861025
2000-10-01,251118.99426588
2001-01-01,250131.81308825
2001-04-01,249400.49042704
2001-07-01,250593.82858101
2001-10-01,250421.00087273
2002-01-01,252008.44300334
2002-04-01,253686.09969411
2002-07-01,256103.51577809
2002-10-01,257395.67228822
2003-01-01,258483.84365401
2003-04-01,262794.17839312
2003-07-01,266185.24347071
2003-10-01,268263.43610213
2004-01-01,274609.77981259
2004-04-01,276899.39193637
2004-07-01,276752.37561612
2004-10-01,279455.88880058
2005-01-01,281005.24033913
2005-04-01,282306.91949728
2005-07-01,287393.09945366
2005-10-01,292562.89494218
2006-01-01,297134.18364972
2006-04-01,304037.85286509
2006-07-01,308995.72766926
2006-10-01,304730.41667824
2007-01-01,317289.78702693
2007-04-01,321435.48019377
2007-07-01,327060.35801904
2007-10-01,331557.05265045
2008-01-01,336811.46605511
2008-04-01,338658.94330215
2008-07-01,338536.40185795
2008-10-01,339132.23561493
2009-01-01,343141.77162154
2009-04-01,343922.29463083
2009-07-01,346550.62901516
2009-10-01,352492.59431295
2010-01-01,351218.98190685
2010-04-01,356446.33094347
2010-07-01,360635.46075037
2010-10-01,363627.32639930
2011-01-01,370164.45719808
2011-04-01,374843.50218579
2011-07-01,379229.01572502
2011-10-01,382744.71054681
2012-01-01,383560.31699616
2012-04-01,382710.88008676
2012-07-01,382896.57172306
2012-10-01,382493.19569440
2013-01-01,381443.53258067
2013-04-01,384328.89492942
2013-07-01,387144.67512206
2013-10-01,389311.24460964
2014-01-01,394517.79417822
2014-04-01,398990.26452959
2014-07-01,402228.21545092
2014-10-01,405655.78401257
2015-01-01,412290.48018751
2015-04-01,414642.99190739
2015-07-01,420188.26373652
2015-10-01,423755.08014240
2016-01-01,423000.03439316
2016-04-01,429236.28292744
2016-07-01,431737.98279956
2016-10-01,440089.09451332
2017-01-01,445239.59410981
2017-04-01,449625.19118104
2017-07-01,456368.56248815
2017-10-01,462855.99174685
2018-01-01,472027.38770196
2018-04-01,478930.22159734
2018-07-01,484983.45151932
2018-10-01,489721.13597112
2019-01-01,496826.78556283
2019-04-01,501446.02163845
2019-07-01,505390.06855695
2019-10-01,508999.48628290
2020-01-01,512049.99139592
2020-04-01,465988.19115601
2020-07-01,496597.90788246
2020-10-01,497329.48113966
2021-01-01,508907.26695474
2021-04-01,521928.81986021
2021-07-01,532658.50527789
2021-10-01,543435.63687165
2022-01-01,561003.92007661
2022-04-01,555037.56343477
2022-07-01,557936.79209555
2022-10-01,549382.11289745
2023-01-01,554148.86648531
2023-04-01,550390.92886312
2023-07-01,560154.65023121
2023-10-01,560206.10594329
2024-01-01,563640.02293695
2024-04-01,570476.36536022
2024-07-01,569613.64686280
