,policyRate,policyDiff,policyDiscrete,inflation,UnemployRateTotal,UnemployRateFemale,UnemployRateMale,RecessionIndMid,RGDP,gRGDP
policyRate,1.0,0.011850183882077394,0.02262987566475983,0.6189148602620113,0.18496313844529855,0.23079807102417602,0.16748491393211032,0.08458058635856515,-0.07297165242597306,0.004625894486218976
policyDiff,0.011850183882077394,1.0,0.790136584576533,0.2507695218680231,-0.14921883483998755,-0.12948306548694355,-0.19709603227573105,-0.13083673506285787,0.009316565146887414,0.10552252685395358
policyDiscrete,0.02262987566475983,0.790136584576533,1.0,0.26034395824149553,-0.16916709099307836,-0.17133076742379227,-0.23194883825015616,-0.11766781499973751,0.011090028105935077,0.10848604714767095
inflation,0.6189148602620113,0.2507695218680231,0.26034395824149553,1.0,0.030727610489626515,0.036243688625288914,-0.03369224488277556,0.09591942679561,-0.05174284052223098,0.0011787087162658694
UnemployRateTotal,0.18496313844529855,-0.14921883483998755,-0.16916709099307836,0.030727610489626515,1.0,0.9814437025572615,0.982826713119973,-0.07170415380154069,-0.23198556523427807,0.022089976467125655
UnemployRateFemale,0.23079807102417602,-0.12948306548694355,-0.17133076742379227,0.036243688625288914,0.9814437025572615,1.0,0.9295646339130756,-0.012669054336584749,-0.2661920663659538,0.0047788942768103825
UnemployRateMale,0.16748491393211032,-0.19709603227573105,-0.23194883825015616,-0.03369224488277556,0.982826713119973,0.9295646339130756,1.0,0.026792986525449917,-0.2779779941477816,-0.019261246872734637
RecessionIndMid,0.08458058635856515,-0.13083673506285787,-0.11766781499973751,0.09591942679561,-0.07170415380154069,-0.012669054336584749,0.026792986525449917,1.0,0.0007592696958701603,-0.15259527485721916
RGDP,-0.07297165242597306,0.009316565146887414,0.011090028105935077,-0.05174284052223098,-0.23198556523427807,-0.2661920663659538,-0.2779779941477816,0.0007592696958701603,1.0,0.01105334297045231
gRGDP,0.004625894486218976,0.10552252685395358,0.10848604714767095,0.0011787087162658694,0.022089976467125655,0.0047788942768103825,-0.019261246872734637,-0.15259527485721916,0.01105334297045231,1.0
