country,Financial Sector,Central Bank,Government,Households,Firms
Australia,0.23128261709916006,0.2190475932800277,0.03747731355776747,0.34787878182022736,0.16431369311297975
Canada,0.09453202210568976,0.4892159246848206,0.04676504166575724,0.16700600376329142,0.20248100495825105
Chile,0.1185179415961683,0.528181920431431,0.039092159613861824,0.17141859126168815,0.14278938912268613
Colombia,0.1572803405899151,0.5238774197491987,0.10776405939587237,0.09252493769987016,0.11855323574361411
ECB,0.23969633083638395,0.28539130255704304,0.17474765867874187,0.13317285716625923,0.16699185144582882
Fed,0.05433933250295611,0.5892471853992902,0.027000865240115596,0.2865654883735502,0.042847127934995344
Hungary,0.15548554902815748,0.43123817339292975,0.12512156854954168,0.14143060451916678,0.14672410700029526
Iceland,0.12191954469623542,0.590194402002655,0.06564538917943227,0.159138849799193,0.0631018126326428
Indonesia,0.4681056804465969,0.22705848721417016,0.09039447142319708,0.03421540883490522,0.1802259491931211
Japan,0.33438406787027364,0.47533190859693825,0.03053819664368131,0.03212777434987939,0.12761805027785392
Korea,0.2981248710067787,0.18264686729746035,0.05230693251450745,0.16954572708138982,0.2973756065167253
NewZealand,0.11038159393317373,0.3898325384439279,0.06856130755584061,0.17967657064630957,0.25154798955346147
Norway,0.14780028626769184,0.5612636517573495,0.03260918651788769,0.17896452060494275,0.07936235714757563
Peru,0.33612878954456255,0.5195703816360845,0.028885959601245254,0.05118252972803281,0.0642323394923651
Philippines,0.14881893438721022,0.7247640856401494,0.044885655318741724,0.03530206263503174,0.04622926452381277
Poland,0.11670424576380652,0.2694693755440379,0.10037400324099162,0.23205807783702356,0.28139429671503385
Thailand,0.22373288815347853,0.32899812414734914,0.1311590989147861,0.05458861413051295,0.26152127322736346
