country,readabilityPC,concreteRatio,concreteMean,concreteMeanExtra,entropy,perplexity,first_order_coherence,second_order_coherence,dependency_distance_mean,prop_adjacent_dependency_relation_mean
Armenia,1.8509110190292826,0.954183740369991,2.855066714131499,2.1738984886340904,10.839121740653678,6767221.175596765,0.6031403932917749,0.5686558189842955,3.226748717300525,0.4548127534257516
Australia,-3.0353460513648227,0.5915359602870277,2.811208479065788,2.189958705575098,18.073588037367003,76931395229.38776,0.4870245555168443,0.4779579550349746,2.7279956139360113,0.46705489403470063
Canada,-1.532564950541503,0.9515952036601953,2.9002527099215945,2.298707112004629,13.497826910174068,5967752827.400786,0.5125592535692723,0.5007783129895105,2.847867046645494,0.4713322524799899
Chile,-0.35720634588028444,0.642571660798749,2.8127886213699242,2.1754329937880934,10.619680233491609,3820314030016.301,0.4835789574480853,0.4711826268625089,2.8598050919091786,0.45820683030024506
Colombia,-0.46159977786179274,0.7337903512470388,2.7951326876823384,2.1005470265324333,14.112404604563038,7264316206484.501,0.5296247349768362,0.5148475581126689,2.888835079615798,0.4719907063962715
ECB,0.8496853904322714,0.4713125312326377,2.7561711954641837,2.1794835457013906,45.37331409570616,1.4746025464678168e+30,0.5463017694126354,0.5379756452644328,3.037104849359571,0.4505702870254836
Fed,2.585535509560823,1.12836879891534,2.8625077023065377,2.1075256967758746,12.210115115435679,524208359599116.3,0.4987194449460196,0.4719554721837563,3.123499967201479,0.4656481057708074
Hungary,0.3501533593155155,0.6191873215787094,2.8077948807635114,2.265538952223417,27.72383321398106,1.1560555090475237e+26,0.5459550913208335,0.5405954494772186,2.8599104678999283,0.463903311552243
Iceland,-2.0664772372446505,0.6326911170216771,2.7819568899478595,2.1754631677670315,11.523120930243355,5492491794.891944,0.4737537275236833,0.459720511517363,2.7519725336983347,0.46244089063969457
Indonesia,2.5990888241993053,0.927085190752739,2.8964997391034935,2.1495227803678634,42.47618979758347,3.9352724038228606e+33,0.5498881438117658,0.5293481318852138,3.0379971355060498,0.4659596712550509
Japan,-0.005980336557938773,1.504445823155385,3.0416715847206683,2.4813132157543683,13.719880737494323,8.707335991628366e+17,0.4522415672724465,0.40690583672534186,2.778240045376762,0.4734207320792332
Korea,1.8904860546238529,0.9966553386122662,2.8753508263891465,2.278240506335186,11.865792278539093,29142197100.825848,0.5385328431406753,0.5298156229270046,3.036006536212199,0.4615204872694505
NewZealand,-1.5846111655276605,0.5687732030955523,2.798283551621824,2.241864421507728,11.318607652303738,13366315669.788715,0.4880749964572141,0.4757542387166411,2.755731661469599,0.45002591257421476
Norway,-3.713816888067453,1.0732684703917303,2.9269639116191053,2.3412446739780894,13.811100272557816,4.3832994042603373e+24,0.4582886690333134,0.4483228766828164,2.6980699316753745,0.4722979826941476
Peru,-1.954415505927653,0.8614852920475421,2.8264872368293332,2.1664869291829794,12.403020752026084,423486128.25747746,0.3389477166506893,0.40498589625164594,2.4908096112725513,0.44761777110962975
Philippines,2.5225852830845703,0.6290959134351964,2.792124237183618,2.1811729792697547,10.20426538839027,2710074.6814640975,0.547812321848784,0.5321681583239429,3.0487823168018315,0.455163846885246
Poland,0.018079376920932762,0.4940651384929334,2.766679117563747,2.154033404528714,22.092811077797936,2.0546565545794614e+17,0.5441626096703585,0.5314369260011477,3.0894594241634583,0.45717585526484555
Thailand,0.5352678953031718,0.4896349205207838,2.716679783511695,2.1591849909678102,12.10874509315021,3518687503.527707,0.4768435363256849,0.4764671633705376,2.870247896647557,0.4657278509842969
