country,readabilityPC,concretePC,entropyPC,coherencePC
Australia,-2.8393058609569315,0.5335211507166735,0.010609337848753977,-0.134668237340025
Canada,-1.4078040621019092,-1.5739776697940142,-0.31922768359933484,0.2806014163864486
Chile,-0.20284464116850257,0.6193371851175326,-0.45104151780772306,-0.25307552250923376
Colombia,-0.24117638800998287,1.4406279212789808,-0.31470469741289037,0.5806548982663527
ECB,1.0960448864157346,1.4607571460077993,2.071780046671998,0.936188521457423
Fed,2.9681686999512857,0.3710704559889535,-0.41825167591317547,-0.13314026012693733
Hungary,0.5376470054658553,0.1543132287363684,0.7058680194599136,0.9426715824862838
Iceland,-2.149901501234798,1.0146076286800263,-0.47995436789212526,-0.5815635634607554
Indonesia,2.831167362450985,-0.22380997357876173,1.751194784605436,0.8904565469688139
Japan,-0.0898430961651884,-4.487644432604255,-0.24207676921126428,-1.366134592600921
Korea,2.234260079772049,-1.0818112038880452,-0.38318394888352114,0.8174266388883773
NewZealand,-1.4633589117509502,0.47893402628698295,-0.4850797969275248,-0.19986975254829506
Norway,-3.7685853975484607,-2.253599981355509,-0.34967510756008174,-0.7886007349766819
Peru,-1.8609428659612932,0.4519813676512059,-0.40300665700552923,-2.239041527328344
Philippines,2.86423740948003,0.9182389519150282,-0.5721288861425741,0.8823146628095324
Poland,0.1971618606134964,1.6434045992329585,0.3240498973511788,0.8698431728110726
Thailand,0.7884425765880156,2.1484453819933633,-0.41518452562148334,-0.2496459327561503
