country,policyRate,policyDiscrete,UnemployRateTotal,RecessionIndMid,gRGDP,inflation
Armenia,,,,,,
Australia,2.9742703883495145,0.014634146341463415,5.274351699029126,0.453551912568306,0.3209581458876662,2.8198626213592233
Canada,2.065051020408163,-0.005128205128205128,6.964795918367346,0.36312849162011174,0.24732507379777885,2.232486387755102
Chile,4.069923371647509,-0.011538461538461539,8.117078237547894,0.47540983606557374,0.8503183981799324,3.672502011494253
Colombia,6.232758620689655,-0.011627906976744186,11.012163172413793,0.022988505747126436,0.6013875711681008,5.784354022988506
ECB,1.7681818181818183,-0.015873015873015872,9.139285714285714,0.3717948717948718,0.12320888653213197,2.1012368735177867
Fed,1.9221105527638191,0.045454545454545456,5.705025125628141,0.10552763819095477,0.26862624766913973,2.582844713567839
Hungary,5.3837254901960785,-0.2204724409448819,6.474509803921569,0.3508771929824561,0.18127301965497167,4.838162898039216
Iceland,5.381147540983607,-0.10743801652892562,5.316666666666666,0.3888888888888889,0.3473819749574123,4.548111106557377
Indonesia,6.224056603773585,-0.07109004739336493,,0.27472527472527475,0.4257355796242854,4.9007609386792454
Japan,0.07763975155279502,0.0,3.973764258555133,0.3877551020408163,0.06145839387657092,0.3104557186311787
Korea,2.970260223048327,-0.011194029850746268,3.5144981412639402,0.4103585657370518,0.32163924158896146,2.522890940520446
NewZealand,3.915,0.050505050505050504,4.831,0.4084507042253521,0.6497277461537473,2.56434385
Norway,2.74746192893401,0.061224489795918366,3.829081632653061,0.4581005586592179,0.19632582577941338,2.459745802030457
Peru,3.75390625,0.08627450980392157,8.066863614950705,0.10801393728222997,1.2951483290152999,3.02280631141115
Philippines,4.972222222222222,-0.019417475728155338,6.723684210526316,0.5106382978723404,1.2319606542452375,3.98090638647343
Poland,4.32962962962963,-0.12267657992565056,9.579553903345726,0.4180327868852459,0.31115959667993925,3.33937502962963
Thailand,2.0342857142857143,0.022988505747126436,1.1035300214157167,0.5370370370370371,0.8034285714285714,1.9413827885714285
